sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
10x1,10,1,5836,1.23,346,3609,25423.7777777778,162475.666666667,96,78,1894,5519,49620,65355,250,811,63,1069,304,12336,10x1,Lung5,tumor 5,myeloid-enriched stroma
10x2,10,2,6841,1.72,632,3614,25709.7777777778,162480.666666667,117,68,1011,4006,4265,40587,230,594,0,163,5263,32489,10x2,Lung5,endothelial,myeloid-enriched stroma
10x3,10,3,3300,1.15,785,3618,25862.7777777778,162484.666666667,70,61,1593,4707,17055,65256,344,1504,4,250,4828,25933,10x3,Lung5,epithelial,myeloid-enriched stroma
10x4,10,4,3296,1.68,1960,3623,27037.7777777778,162489.666666667,84,50,1353,6106,2898,15082,208,783,171,1824,821,6576,10x4,Lung5,neutrophil,myeloid-enriched stroma
10x5,10,5,2240,1.36,2080,3623,27157.7777777778,162489.666666667,68,50,385,2484,461,2247,133,478,0,55,11062,41444,10x5,Lung5,mast,myeloid-enriched stroma
10x6,10,6,5142,1.05,2173,3609,27250.7777777778,162475.666666667,82,78,1246,3951,12094,65329,168,489,0,181,0,0,10x6,Lung5,macrophage,myeloid-enriched stroma
10x7,10,7,12591,1.44,2370,3594,27447.7777777778,162460.666666667,156,108,975,3482,459,2334,218,607,1,403,2754,24474,10x7,Lung5,macrophage,myeloid-enriched stroma
10x9,10,9,5439,2.68,3465,3622,28542.7777777778,162488.666666667,142,53,697,2263,564,2853,144,638,0,412,5633,36504,10x9,Lung5,neutrophil,myeloid-enriched stroma
10x10,10,10,2213,1.26,3989,3625,29066.7777777778,162491.666666667,58,46,926,2678,919,4843,205,893,0,25,8246,33231,10x10,Lung5,neutrophil,tumor-stroma boundary
10x11,10,11,3328,0.68,5445,3610,30522.7777777778,162476.666666667,52,76,1993,3715,12234,29643,232,561,0,131,3045,18559,10x11,Lung5,tumor 5,tumor interior
10x12,10,12,5438,1.04,1076,3609,26153.7777777778,162475.666666667,81,78,521,2264,14997,65271,253,664,0,92,8336,26347,10x12,Lung5,epithelial,myeloid-enriched stroma
10x13,10,13,3140,0.79,3639,3614,28716.7777777778,162480.666666667,54,68,1087,3531,6610,42913,102,378,0,0,18,7282,10x13,Lung5,tumor 5,plasmablast-enriched stroma
10x14,10,14,2527,1.26,5393,3622,30470.7777777778,162488.666666667,67,53,1629,3381,12969,52519,270,571,0,80,7953,24231,10x14,Lung5,tumor 5,tumor interior
10x15,10,15,2204,1.22,4727,3617,29804.7777777778,162483.666666667,67,55,2144,8985,27186,50966,358,697,1,175,6090,22734,10x15,Lung5,tumor 5,tumor interior
10x16,10,16,3579,1.09,2052,3605,27129.7777777778,162471.666666667,76,70,1033,5537,600,10713,169,614,0,228,12242,36663,10x16,Lung5,T CD4 naive,myeloid-enriched stroma
10x17,10,17,2027,1.09,4807,3603,29884.7777777778,162469.666666667,51,47,1405,3775,17866,45699,347,688,1,196,12637,27622,10x17,Lung5,tumor 5,tumor interior
10x18,10,18,3912,1.09,1592,3599,26669.7777777778,162465.666666667,76,70,560,2333,685,17459,267,858,229,1192,8513,27370,10x18,Lung5,neutrophil,myeloid-enriched stroma
10x19,10,19,3691,1.46,4553,3598,29630.7777777778,162464.666666667,86,59,1142,2520,20051,59379,309,675,0,117,9604,23364,10x19,Lung5,tumor 5,tumor interior
10x20,10,20,1784,0.73,4762,3598,29839.7777777778,162464.666666667,45,62,2155,10125,24623,56742,375,642,2,292,4487,18590,10x20,Lung5,tumor 5,tumor interior
10x21,10,21,2912,1.27,4869,3593,29946.7777777778,162459.666666667,70,55,1641,3695,17426,63721,352,668,0,42,11775,26970,10x21,Lung5,tumor 5,tumor interior
