sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
20x1,20,1,6777,1.88,152,3615,25229.7777777778,169781.666666667,124,66,1516,6978,38246,65364,315,1610,27,533,4285,27166,20x1,Lung5,epithelial,myeloid-enriched stroma
20x2,20,2,1697,1.71,726,3631,25803.7777777778,169797.666666667,60,35,849,2153,722,1658,369,829,83,603,9560,26023,20x2,Lung5,mDC,stroma
20x3,20,3,2494,1.59,793,3625,25870.7777777778,169791.666666667,73,46,622,1695,644,1209,243,753,56,576,12895,31153,20x3,Lung5,T CD4 naive,stroma
20x5,20,5,3014,1.42,2141,3623,27218.7777777778,169789.666666667,71,50,1104,3734,471,1618,312,1214,47,680,11237,32994,20x5,Lung5,B-cell,stroma
20x6,20,6,1824,1.59,2502,3630,27579.7777777778,169796.666666667,59,37,1904,4619,892,1556,337,1163,71,733,7491,42943,20x6,Lung5,fibroblast,lymphoid structure
20x7,20,7,1721,1.91,4735,3631,29812.7777777778,169797.666666667,65,34,1848,4106,348,648,709,1697,81,711,10457,20267,20x7,Lung5,T CD4 naive,lymphoid structure
20x8,20,8,1914,1.48,5092,3626,30169.7777777778,169792.666666667,65,44,2807,6487,371,745,634,1366,72,632,6880,15048,20x8,Lung5,T CD8 naive,lymphoid structure
20x9,20,9,3422,0.76,29,3610,25106.7777777778,169776.666666667,58,76,477,1405,600,3651,285,655,59,693,8985,21145,20x9,Lung5,neutrophil,myeloid-enriched stroma
20x10,20,10,2323,1.19,3680,3624,28757.7777777778,169790.666666667,57,48,1133,2055,510,1464,572,1264,41,682,9833,20325,20x10,Lung5,fibroblast,lymphoid structure
20x11,20,11,1874,1.24,3786,3627,28863.7777777778,169793.666666667,52,42,4953,13206,513,966,1067,2703,55,802,3176,20132,20x11,Lung5,T CD8 naive,lymphoid structure
20x13,20,13,2773,1.51,4098,3625,29175.7777777778,169791.666666667,71,47,2171,5582,808,1678,628,1993,53,692,6535,24890,20x13,Lung5,endothelial,lymphoid structure
20x14,20,14,1621,1.46,4377,3630,29454.7777777778,169796.666666667,54,37,2737,10246,357,689,1344,5087,70,719,8485,16783,20x14,Lung5,T CD4 naive,lymphoid structure
20x15,20,15,1703,1.33,4925,3627,30002.7777777778,169793.666666667,57,43,2534,5275,397,760,790,2039,66,647,8317,15846,20x15,Lung5,T CD4 naive,lymphoid structure
