sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
13x1,13,1,3308,0.94,1723,3610,15856.3333333333,166126.666666667,72,77,1341,5291,5689,25127,255,764,0,189,3176,23797,13x1,Lung5,endothelial,myeloid-enriched stroma
13x2,13,2,3638,1.22,2290,3617,16423.3333333333,166133.666666667,77,63,850,3893,677,4471,320,3707,10,577,8781,25308,13x2,Lung5,mDC,myeloid-enriched stroma
13x4,13,4,4205,1.3,2399,3615,16532.3333333333,166131.666666667,86,66,725,4449,685,5343,332,1486,295,1130,11485,37493,13x4,Lung5,neutrophil,myeloid-enriched stroma
13x6,13,6,5524,0.96,2495,3601,16628.3333333333,166117.666666667,90,94,1218,7316,2062,12147,200,599,47,579,9667,39192,13x6,Lung5,neutrophil,myeloid-enriched stroma
13x7,13,7,5678,1.88,2692,3616,16825.3333333333,166132.666666667,120,64,622,3786,1629,33990,190,11834,0,151,4385,27005,13x7,Lung5,macrophage,myeloid-enriched stroma
13x9,13,9,5758,1.25,2972,3608,17105.3333333333,166124.666666667,100,80,424,1923,395,2560,209,803,19,552,12534,31553,13x9,Lung5,B-cell,myeloid-enriched stroma
13x10,13,10,4280,1.27,3058,3615,17191.3333333333,166131.666666667,84,66,340,1628,333,1031,135,754,143,1184,10545,28446,13x10,Lung5,neutrophil,myeloid-enriched stroma
13x11,13,11,6314,1.35,3490,3611,17623.3333333333,166127.666666667,100,74,1957,6152,977,20846,173,7339,20,872,1394,31154,13x11,Lung5,tumor 5,myeloid-enriched stroma
13x12,13,12,5443,1.88,4075,3619,18208.3333333333,166135.666666667,111,59,1235,4117,503,4525,201,1203,16,783,2303,15066,13x12,Lung5,macrophage,myeloid-enriched stroma
13x13,13,13,2291,1.15,4154,3624,18287.3333333333,166140.666666667,55,48,314,2040,383,2757,157,901,86,946,4757,16687,13x13,Lung5,neutrophil,myeloid-enriched stroma
13x14,13,14,6940,1.53,4518,3611,18651.3333333333,166127.666666667,113,74,1884,5272,732,7067,194,581,0,33,82,13761,13x14,Lung5,macrophage,myeloid-enriched stroma
13x15,13,15,8496,0.99,4749,3592,18882.3333333333,166108.666666667,111,112,1351,4616,706,3880,261,10394,0,147,2578,20514,13x15,Lung5,macrophage,myeloid-enriched stroma
13x16,13,16,2009,1.04,4792,3623,18925.3333333333,166139.666666667,52,50,894,4886,793,2759,1253,6376,0,42,13747,35269,13x16,Lung5,macrophage,myeloid-enriched stroma
13x17,13,17,4312,1.2,4853,3611,18986.3333333333,166127.666666667,90,75,1370,4208,892,8184,587,5003,109,808,8128,29694,13x17,Lung5,neutrophil,myeloid-enriched stroma
13x18,13,18,9324,1.72,5134,3604,19267.3333333333,166120.666666667,151,88,1200,17733,12662,44592,221,808,50,1152,1567,11923,13x18,Lung5,endothelial,myeloid-enriched stroma
