sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
29x2,29,2,2508,1.43,998,3623,20603.5555555556,177089.666666667,73,51,1768,6607,20932,61436,197,624,0,50,916,8061,29x2,Lung5,tumor 5,tumor interior
29x3,29,3,2825,2.26,1190,3629,20795.5555555556,177095.666666667,88,39,2693,7613,6384,65146,200,596,0,64,1870,17674,29x3,Lung5,endothelial,tumor interior
29x4,29,4,3987,1.69,1749,3621,21354.5555555556,177087.666666667,93,55,4006,13811,959,3421,255,878,136,1250,602,12378,29x4,Lung5,macrophage,tumor interior
29x5,29,5,9254,1.11,1906,3599,21511.5555555556,177065.666666667,109,98,4183,14342,28431,65282,306,946,5,1695,753,13571,29x5,Lung5,tumor 5,tumor interior
29x6,29,6,8000,1.35,2052,3605,21657.5555555556,177071.666666667,116,86,6207,16312,26911,65300,372,1182,10,572,44,7180,29x6,Lung5,tumor 5,tumor-stroma boundary
29x7,29,7,5350,1.42,2208,3610,21813.5555555556,177076.666666667,108,76,2490,14516,30754,65316,296,844,1,279,863,11588,29x7,Lung5,tumor 5,tumor-stroma boundary
29x8,29,8,8489,1.45,2280,3604,21885.5555555556,177070.666666667,128,88,4183,39238,35181,65331,340,14582,1,670,1711,22904,29x8,Lung5,tumor 5,tumor-stroma boundary
29x9,29,9,3600,0.9,2401,3610,22006.5555555556,177076.666666667,69,77,3538,8824,26018,65284,326,1057,3,355,7270,40454,29x9,Lung5,tumor 5,tumor-stroma boundary
29x10,29,10,5584,1.25,2597,3605,22202.5555555556,177071.666666667,109,87,3823,13458,26390,65256,274,750,1,378,1362,18613,29x10,Lung5,tumor 5,tumor-stroma boundary
29x11,29,11,6035,1.38,3290,3608,22895.5555555556,177074.666666667,112,81,5899,31765,33506,65238,258,11618,17,938,2863,26065,29x11,Lung5,tumor 5,tumor-stroma boundary
29x12,29,12,4131,1.65,3931,3620,23536.5555555556,177086.666666667,94,57,2949,10998,6244,61792,302,1047,179,1104,2386,23674,29x12,Lung5,tumor 5,tumor interior
29x13,29,13,1932,1.62,4777,3627,24382.5555555556,177093.666666667,68,42,2186,7187,613,1320,234,621,6,285,3169,13745,29x13,Lung5,B-cell,tumor-stroma boundary
29x14,29,14,2924,1.93,5177,3626,24782.5555555556,177092.666666667,87,45,1698,4373,1590,20128,316,894,372,1555,3152,16185,29x14,Lung5,epithelial,stroma
29x15,29,15,4084,0.69,658,3604,20263.5555555556,177070.666666667,61,89,3487,9538,26888,58029,334,720,1,129,4821,24923,29x15,Lung5,tumor 5,tumor interior
29x16,29,16,4370,0.98,1030,3604,20635.5555555556,177070.666666667,86,88,2924,7950,31950,65206,313,661,0,230,881,16195,29x16,Lung5,tumor 5,tumor interior
29x17,29,17,2050,2.43,1102,3631,20707.5555555556,177097.666666667,85,35,2053,4666,17323,51518,221,7574,0,155,1701,11249,29x17,Lung5,tumor 5,tumor interior
29x18,29,18,3405,1.3,1301,3618,20906.5555555556,177084.666666667,79,61,2961,8096,13259,65292,347,1233,115,804,2364,20500,29x18,Lung5,tumor 5,tumor interior
29x19,29,19,5679,0.69,1985,3590,21590.5555555556,177056.666666667,80,116,2891,14290,27540,65325,298,5382,27,725,1547,14467,29x19,Lung5,tumor 5,tumor interior
29x20,29,20,3150,1.19,2510,3620,22115.5555555556,177086.666666667,68,57,3561,6828,1299,4554,961,2617,51,672,6011,33643,29x20,Lung5,fibroblast,tumor-stroma boundary
29x21,29,21,2169,1.51,2868,3627,22473.5555555556,177093.666666667,65,43,2680,9453,24147,65325,182,685,0,12,1315,11702,29x21,Lung5,epithelial,tumor-stroma boundary
29x22,29,22,2572,1.24,3443,3623,23048.5555555556,177089.666666667,62,50,1640,5230,25283,65319,253,795,8,526,1968,13809,29x22,Lung5,NK,tumor-stroma boundary
29x23,29,23,4622,1.12,3503,3610,23108.5555555556,177076.666666667,86,77,4498,12953,2763,42555,422,1369,0,145,3854,28740,29x23,Lung5,macrophage,tumor-stroma boundary
29x24,29,24,3990,1.72,3616,3618,23221.5555555556,177084.666666667,105,61,3055,8922,1372,47400,403,1726,241,1599,4395,26593,29x24,Lung5,T CD4 memory,tumor interior
29x25,29,25,1312,0.89,4334,3625,23939.5555555556,177091.666666667,42,47,4441,16328,36548,65237,311,690,10,450,0,0,29x25,Lung5,tumor 5,tumor-stroma boundary
29x26,29,26,2028,0.89,4366,3621,23971.5555555556,177087.666666667,49,55,3380,8094,28696,65239,289,645,2,264,1587,11102,29x26,Lung5,tumor 5,tumor-stroma boundary
29x27,29,27,2052,1.13,4414,3625,24019.5555555556,177091.666666667,53,47,2870,7179,31963,65256,293,753,1,225,6060,19544,29x27,Lung5,tumor 5,tumor-stroma boundary
29x28,29,28,1749,1.02,4449,3622,24054.5555555556,177088.666666667,54,53,4142,9754,41242,65255,336,815,0,97,4060,17782,29x28,Lung5,tumor 5,tumor-stroma boundary
29x29,29,29,2989,1.47,4642,3621,24247.5555555556,177087.666666667,81,55,1524,4657,592,3296,275,965,48,655,7126,24599,29x29,Lung5,T CD4 naive,tumor-stroma boundary
29x31,29,31,1721,1.45,5267,3627,24872.5555555556,177093.666666667,61,42,1517,3533,38975,65344,210,519,0,76,0,0,29x31,Lung5,epithelial,stroma
29x32,29,32,3982,0.67,5417,3605,25022.5555555556,177071.666666667,58,87,1006,3184,579,876,233,804,115,901,3970,17273,29x32,Lung5,neutrophil,stroma
29x34,29,34,2004,0.79,753,3619,20358.5555555556,177085.666666667,46,58,4657,8903,18862,52240,409,855,14,239,329,14527,29x34,Lung5,tumor 5,tumor interior
29x35,29,35,3903,1.25,832,3618,20437.5555555556,177084.666666667,76,61,2342,8766,28727,65303,340,678,3,248,907,12993,29x35,Lung5,tumor 5,tumor interior
29x36,29,36,2240,0.77,3666,3610,23271.5555555556,177076.666666667,53,69,3485,16666,1103,4487,505,2021,302,1313,5943,23013,29x36,Lung5,neutrophil,tumor interior
29x37,29,37,4928,0.68,3710,3598,23315.5555555556,177064.666666667,68,100,6081,23839,10474,65235,462,1869,10,479,1672,15038,29x37,Lung5,fibroblast,tumor interior
29x38,29,38,4347,0.93,4722,3607,24327.5555555556,177073.666666667,76,82,2111,5800,695,1663,305,945,1,206,11622,30964,29x38,Lung5,fibroblast,tumor-stroma boundary
29x39,29,39,3793,0.91,4474,3602,24079.5555555556,177068.666666667,80,88,4381,23376,31680,65233,307,851,1,236,3547,18492,29x39,Lung5,tumor 5,tumor-stroma boundary
29x40,29,40,1633,0.94,707,3604,20312.5555555556,177070.666666667,50,53,5939,12319,31410,43632,419,772,4,294,6322,25242,29x40,Lung5,tumor 5,tumor interior
29x41,29,41,5276,1.31,1116,3599,20721.5555555556,177065.666666667,105,80,3334,8875,20773,65255,300,6606,0,329,6130,24405,29x41,Lung5,tumor 5,tumor interior
29x42,29,42,2584,1.02,4973,3611,24578.5555555556,177077.666666667,60,59,1852,5145,2046,5722,370,889,147,815,9295,25534,29x42,Lung5,neutrophil,stroma
29x43,29,43,15506,1.43,2929,3577,22534.5555555556,177043.666666667,174,122,3472,11968,37296,65325,270,10391,0,202,26,8036,29x43,Lung5,tumor 5,tumor-stroma boundary
29x44,29,44,4033,0.87,5035,3594,24640.5555555556,177060.666666667,71,82,1796,4164,2064,28065,389,1162,13,563,1927,10231,29x44,Lung5,macrophage,stroma
29x45,29,45,3519,0.76,5164,3585,24769.5555555556,177051.666666667,70,92,1693,3617,1712,5062,363,1000,473,1397,6364,20636,29x45,Lung5,neutrophil,stroma
29x46,29,46,7940,0.62,5260,3560,24865.5555555556,177026.666666667,82,132,1720,5186,45294,65346,199,567,0,64,253,6047,29x46,Lung5,epithelial,stroma
29x47,29,47,2696,0.81,2567,3585,22172.5555555556,177051.666666667,67,83,4545,7940,20737,65190,411,1103,231,1174,4733,25834,29x47,Lung5,tumor 5,tumor-stroma boundary
29x48,29,48,5160,0.88,4795,3586,24400.5555555556,177052.666666667,85,97,1375,5041,850,3710,218,639,0,46,4594,22839,29x48,Lung5,fibroblast,tumor-stroma boundary
29x49,29,49,2504,0.84,4312,3598,23917.5555555556,177064.666666667,53,63,4493,13361,52517,65250,373,636,5,235,0,0,29x49,Lung5,tumor 5,tumor-stroma boundary
29x50,29,50,1769,1.0,729,3587,20334.5555555556,177053.666666667,59,59,9283,13717,26218,36274,490,796,10,233,24,4464,29x50,Lung5,tumor 5,tumor interior
29x51,29,51,8084,0.45,1335,3547,20940.5555555556,177013.666666667,70,154,4091,9014,24058,65287,323,1800,0,158,4051,25571,29x51,Lung5,tumor 5,tumor interior
29x52,29,52,5667,0.84,5109,3576,24714.5555555556,177042.666666667,81,96,1531,4658,1588,12838,357,1101,20,626,3224,20615,29x52,Lung5,macrophage,stroma
29x53,29,53,5677,0.46,1182,3552,20787.5555555556,177018.666666667,57,124,4045,8670,29403,65287,302,716,0,78,3119,23239,29x53,Lung5,tumor 5,tumor interior
29x54,29,54,7573,0.5,1239,3554,20844.5555555556,177020.666666667,68,137,3267,9807,24669,65239,324,8854,1,262,4998,22025,29x54,Lung5,tumor 5,tumor interior
29x55,29,55,9334,0.98,1728,3561,21333.5555555556,177027.666666667,116,118,5173,18554,25841,65314,363,1095,140,1342,1514,24738,29x55,Lung5,tumor 5,tumor interior
29x56,29,56,2428,0.92,3614,3577,23219.5555555556,177043.666666667,69,75,6296,18949,9097,65241,615,1742,0,103,3717,24338,29x56,Lung5,plasmablast,tumor interior
29x57,29,57,6669,0.68,5338,3566,24943.5555555556,177032.666666667,79,116,1218,5594,1093,49754,210,635,0,52,3143,15624,29x57,Lung5,T CD8 naive,stroma
29x58,29,58,3563,1.01,493,3586,20098.5555555556,177052.666666667,74,73,2280,7615,33331,65304,265,784,1,243,6138,23989,29x58,Lung5,tumor 5,tumor interior
29x59,29,59,3664,0.53,2375,3562,21980.5555555556,177028.666666667,55,104,1989,7479,27128,65330,268,818,0,144,8133,34044,29x59,Lung5,tumor 5,tumor-stroma boundary
29x60,29,60,1607,0.85,5202,3584,24807.5555555556,177050.666666667,41,48,1436,4350,2874,21965,268,638,155,1219,3591,11515,29x60,Lung5,neutrophil,stroma
29x61,29,61,1980,1.53,4418,3584,24023.5555555556,177050.666666667,69,45,3362,8297,36984,65218,357,765,9,513,6215,16662,29x61,Lung5,tumor 5,tumor-stroma boundary
29x62,29,62,11578,0.55,1401,3527,21006.5555555556,176993.666666667,93,170,4403,11861,24793,65259,326,802,0,116,1062,18449,29x62,Lung5,tumor 5,tumor interior
