sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
22x2,22,2,3569,2.14,489,3626,9150.11111111111,173442.666666667,94,44,911,3241,244,489,360,1244,4,251,4450,37050,22x2,Lung5,plasmablast,stroma
22x3,22,3,2354,1.49,1633,3625,10294.1111111111,173441.666666667,70,47,2018,6450,45208,65306,351,925,0,104,1918,14780,22x3,Lung5,tumor 12,tumor-stroma boundary
22x4,22,4,2207,1.07,2617,3620,11278.1111111111,173436.666666667,60,56,3397,7894,30148,65289,282,695,0,185,5711,33071,22x4,Lung5,tumor 5,tumor interior
22x5,22,5,7401,1.1,3865,3598,12526.1111111111,173414.666666667,110,100,1861,4908,30052,65301,323,914,0,120,1036,15860,22x5,Lung5,tumor 5,tumor interior
22x6,22,6,1439,1.51,5092,3631,13753.1111111111,173447.666666667,53,35,924,2367,402,1049,312,890,0,59,8035,21253,22x6,Lung5,monocyte,plasmablast-enriched stroma
22x7,22,7,2523,1.19,360,3622,9021.11111111111,173438.666666667,62,52,956,2123,227,490,443,3782,1,182,11419,36114,22x7,Lung5,plasmablast,stroma
22x8,22,8,4418,1.23,1381,3613,10042.1111111111,173429.666666667,86,70,2537,6049,488,1414,351,776,31,537,11259,36530,22x8,Lung5,epithelial,tumor-stroma boundary
22x9,22,9,4710,1.15,1601,3607,10262.1111111111,173423.666666667,94,82,2170,6592,45960,65317,281,964,0,19,2643,24942,22x9,Lung5,tumor 12,tumor-stroma boundary
22x10,22,10,2926,2.66,1994,3629,10655.1111111111,173445.666666667,101,38,2244,6982,44439,65294,309,1063,0,60,2357,15135,22x10,Lung5,tumor 5,tumor-stroma boundary
22x11,22,11,2642,0.69,2024,3609,10685.1111111111,173425.666666667,54,78,2819,5602,51918,65319,382,779,0,215,1375,16399,22x11,Lung5,tumor 5,tumor-stroma boundary
22x12,22,12,6283,0.69,2074,3593,10735.1111111111,173409.666666667,76,110,1293,3627,27484,65314,271,766,0,40,5629,21482,22x12,Lung5,tumor 5,tumor-stroma boundary
22x13,22,13,3925,1.1,2152,3614,10813.1111111111,173430.666666667,75,68,2149,6010,37174,65316,306,10348,0,358,7498,30699,22x13,Lung5,tumor 5,tumor-stroma boundary
22x14,22,14,3801,1.28,2441,3618,11102.1111111111,173434.666666667,78,61,2294,5111,37779,65307,346,874,5,359,8165,33791,22x14,Lung5,tumor 5,tumor-stroma boundary
22x15,22,15,4457,1.31,2682,3614,11343.1111111111,173430.666666667,89,68,2577,5223,31597,65283,354,990,0,49,5757,24172,22x15,Lung5,tumor 5,tumor interior
22x16,22,16,6372,1.88,3695,3614,12356.1111111111,173430.666666667,130,69,1337,3362,33384,65307,248,11319,0,118,2241,22024,22x16,Lung5,tumor 5,tumor interior
22x17,22,17,3215,1.05,3783,3618,12444.1111111111,173434.666666667,63,60,1708,3280,35869,65296,435,1146,0,217,2010,18985,22x17,Lung5,tumor 5,tumor interior
22x18,22,18,5553,1.37,4800,3611,13461.1111111111,173427.666666667,103,75,1272,2957,35566,65311,295,654,0,128,4769,17017,22x18,Lung5,tumor 5,tumor-stroma boundary
22x19,22,19,3139,1.12,4990,3620,13651.1111111111,173436.666666667,64,57,975,4209,483,933,197,1102,0,216,5738,23832,22x19,Lung5,endothelial,plasmablast-enriched stroma
22x20,22,20,2347,1.57,5191,3627,13852.1111111111,173443.666666667,66,42,990,2651,404,716,265,705,0,29,4860,26311,22x20,Lung5,endothelial,plasmablast-enriched stroma
22x21,22,21,2850,0.85,5350,3615,14011.1111111111,173431.666666667,56,66,1022,1847,437,1256,259,638,3,231,13007,31617,22x21,Lung5,plasmablast,stroma
22x22,22,22,3669,1.11,4925,3616,13586.1111111111,173432.666666667,71,64,1179,4057,721,1410,391,1860,110,780,9185,34591,22x22,Lung5,neutrophil,plasmablast-enriched stroma
22x23,22,23,4720,1.36,1799,3613,10460.1111111111,173429.666666667,90,66,1600,4647,572,3635,228,607,0,47,2627,17012,22x23,Lung5,fibroblast,tumor-stroma boundary
22x24,22,24,3536,1.2,1145,3610,9806.11111111111,173426.666666667,77,64,1581,3371,519,1720,490,1875,23,527,7429,27874,22x24,Lung5,neutrophil,tumor-stroma boundary
22x25,22,25,5633,0.9,1920,3589,10581.1111111111,173405.666666667,92,102,1086,4975,1022,13089,354,983,97,786,6402,32806,22x25,Lung5,fibroblast,tumor-stroma boundary
22x26,22,26,4762,0.98,2250,3599,10911.1111111111,173415.666666667,81,83,2532,5302,44647,65312,375,911,0,58,6275,31970,22x26,Lung5,tumor 5,tumor-stroma boundary
22x27,22,27,2709,0.84,3827,3593,12488.1111111111,173409.666666667,56,67,1172,2582,29290,63494,333,795,0,51,1831,11106,22x27,Lung5,tumor 5,tumor interior
22x28,22,28,2082,0.77,2525,3598,11186.1111111111,173414.666666667,50,65,1911,4920,49244,65317,402,797,0,125,7000,19211,22x28,Lung5,tumor 5,tumor-stroma boundary
22x29,22,29,3355,1.31,2594,3598,11255.1111111111,173414.666666667,88,67,5159,8828,29614,65298,349,805,0,93,3885,25166,22x29,Lung5,tumor 12,tumor interior
22x30,22,30,3722,0.7,4838,3583,13499.1111111111,173399.666666667,68,97,1224,2801,9779,65275,221,487,0,28,8524,29549,22x30,Lung5,epithelial,tumor-stroma boundary
22x31,22,31,3475,1.32,1473,3599,10134.1111111111,173415.666666667,82,62,1568,3207,954,22457,419,1101,5,258,5660,26808,22x31,Lung5,monocyte,tumor-stroma boundary
22x32,22,32,3539,1.14,2318,3595,10979.1111111111,173411.666666667,81,71,3164,6715,53342,65312,446,11358,0,169,4922,34911,22x32,Lung5,tumor 5,tumor-stroma boundary
22x33,22,33,2799,0.67,2770,3590,11431.1111111111,173406.666666667,48,72,1592,4539,10961,65309,313,715,2,495,1968,26160,22x33,Lung5,macrophage,tumor interior
22x34,22,34,3678,1.15,977,3590,9638.11111111111,173406.666666667,78,68,1300,3189,508,3195,443,1495,8,652,9807,46007,22x34,Lung5,fibroblast,tumor-stroma boundary
22x35,22,35,1920,1.09,1258,3588,9919.11111111111,173404.666666667,61,56,3693,8661,57160,65289,716,4864,2,255,16886,43466,22x35,Lung5,tumor 12,tumor-stroma boundary
22x36,22,36,2001,0.78,1416,3592,10077.1111111111,173408.666666667,49,63,1874,4698,586,4023,370,825,0,198,14325,32125,22x36,Lung5,fibroblast,tumor-stroma boundary
22x37,22,37,2205,1.0,5400,3595,14061.1111111111,173411.666666667,56,56,583,3913,369,825,240,825,15,318,10550,23689,22x37,Lung5,neutrophil,stroma
22x38,22,38,1807,1.06,1726,3596,10387.1111111111,173412.666666667,55,52,800,2494,600,4001,370,1180,91,681,5616,18872,22x38,Lung5,neutrophil,tumor-stroma boundary
22x39,22,39,1877,0.83,2486,3584,11147.1111111111,173400.666666667,48,58,4997,7044,62647,65285,539,903,1,223,2937,13367,22x39,Lung5,tumor 5,tumor-stroma boundary
22x40,22,40,2925,0.95,493,3579,9154.11111111111,173395.666666667,59,62,990,2995,252,461,364,1092,19,296,8855,27729,22x40,Lung5,mDC,stroma
22x41,22,41,2263,2.0,697,3597,9358.11111111111,173413.666666667,84,42,2489,8368,342,740,478,1380,94,1012,9004,44071,22x41,Lung5,fibroblast,stroma
22x42,22,42,3281,1.13,1324,3580,9985.11111111111,173396.666666667,72,64,1513,3754,813,10646,421,1027,73,676,14708,42009,22x42,Lung5,neutrophil,tumor-stroma boundary
22x43,22,43,2812,0.86,587,3585,9248.11111111111,173401.666666667,57,66,1786,22352,281,699,410,1298,4,444,12455,50087,22x43,Lung5,T CD4 naive,stroma
22x44,22,44,4935,1.39,4103,3583,12764.1111111111,173399.666666667,99,71,2293,5531,44678,65320,442,1120,42,843,2191,17142,22x44,Lung5,tumor 5,tumor interior
22x45,22,45,8297,1.42,423,3561,9084.11111111111,173377.666666667,126,89,1780,5026,300,1441,438,8875,0,177,6268,40260,22x45,Lung5,plasmablast,stroma
22x46,22,46,2118,1.04,1207,3581,9868.11111111111,173397.666666667,55,53,3257,6972,11394,65270,535,1598,50,436,1247,37106,22x46,Lung5,tumor 12,tumor-stroma boundary
22x47,22,47,2932,0.81,2555,3568,11216.1111111111,173384.666666667,65,80,3876,8128,38552,65293,280,782,1,224,5270,39712,22x47,Lung5,tumor 5,tumor-stroma boundary
22x48,22,48,1699,0.94,4879,3586,13540.1111111111,173402.666666667,50,53,1363,2870,1100,5054,1057,7061,0,174,7158,28709,22x48,Lung5,mDC,plasmablast-enriched stroma
22x49,22,49,1414,1.03,5450,3592,14111.1111111111,173408.666666667,41,40,618,1366,354,716,228,1395,7,207,5195,16684,22x49,Lung5,macrophage,stroma
22x50,22,50,3086,1.16,1696,3577,10357.1111111111,173393.666666667,73,63,894,2722,1343,35236,419,8159,1,275,10135,32607,22x50,Lung5,neutrophil,tumor-stroma boundary
