sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
28x1,28,1,3914,0.88,247,3608,14380.3333333333,177074.666666667,70,80,2292,6644,413,727,426,1277,0,134,408,14913,28x1,Lung5,pDC,plasmablast-enriched stroma
28x2,28,2,5163,0.59,35,3589,14168.3333333333,177055.666666667,70,118,2356,5320,20870,65342,317,914,26,441,1110,11434,28x2,Lung5,plasmablast,tumor-stroma boundary
28x3,28,3,5218,1.89,401,3620,14534.3333333333,177086.666666667,106,56,1828,12046,477,2741,332,1467,2,423,2039,21217,28x3,Lung5,pDC,plasmablast-enriched stroma
28x4,28,4,3429,1.18,751,3617,14884.3333333333,177083.666666667,73,62,3436,7566,33717,65314,269,1249,2,340,764,13721,28x4,Lung5,neutrophil,plasmablast-enriched stroma
28x5,28,5,2475,1.58,816,3627,14949.3333333333,177093.666666667,68,43,2483,5721,1011,11122,245,722,0,115,3278,30189,28x5,Lung5,fibroblast,plasmablast-enriched stroma
28x6,28,6,4672,1.95,1956,3616,16089.3333333333,177082.666666667,125,64,3435,9549,27977,65242,272,732,0,44,2270,24729,28x6,Lung5,tumor 5,tumor-stroma boundary
28x7,28,7,1806,1.56,2366,3629,16499.3333333333,177095.666666667,61,39,2973,9510,500,1037,426,1408,4,196,4392,22400,28x7,Lung5,B-cell,stroma
28x8,28,8,3852,1.29,2442,3616,16575.3333333333,177082.666666667,84,65,2138,8037,545,16291,318,1321,0,139,9007,37517,28x8,Lung5,T CD4 naive,stroma
28x9,28,9,3508,1.39,2535,3620,16668.3333333333,177086.666666667,78,56,2237,11730,522,1040,308,817,4,228,7812,35556,28x9,Lung5,fibroblast,stroma
28x10,28,10,6569,0.67,2870,3588,17003.3333333333,177054.666666667,81,121,4932,18111,38295,65312,265,716,0,99,1496,15310,28x10,Lung5,epithelial,stroma
