sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
19x2,19,2,2836,1.73,898,3626,20503.5555555556,169792.666666667,76,44,375,1467,1015,4171,193,789,103,794,7785,36212,19x2,Lung5,neutrophil,myeloid-enriched stroma
19x3,19,3,9511,1.06,2449,3589,22054.5555555556,169755.666666667,125,118,1331,4701,1344,12726,223,818,0,160,2353,25649,19x3,Lung5,macrophage,myeloid-enriched stroma
19x4,19,4,5725,3.63,2815,3627,22420.5555555556,169793.666666667,156,43,1493,5010,5751,24491,240,729,0,211,2263,19540,19x4,Lung5,macrophage,myeloid-enriched stroma
19x5,19,5,8444,2.08,3544,3610,23149.5555555556,169776.666666667,160,77,1655,5604,972,5915,297,720,0,134,1559,20524,19x5,Lung5,macrophage,myeloid-enriched stroma
19x6,19,6,3620,1.54,3662,3621,23267.5555555556,169787.666666667,83,54,1677,6595,9964,46228,198,505,0,40,14,4054,19x6,Lung5,macrophage,myeloid-enriched stroma
19x7,19,7,6316,1.79,4395,3615,24000.5555555556,169781.666666667,118,66,1184,4136,819,4392,255,1404,0,105,0,389,19x7,Lung5,macrophage,myeloid-enriched stroma
19x8,19,8,7746,0.88,5044,3594,24649.5555555556,169760.666666667,96,109,2013,6121,33088,65302,211,1671,0,48,111,8913,19x8,Lung5,tumor 12,myeloid-enriched stroma
19x9,19,9,3587,1.41,5226,3618,24831.5555555556,169784.666666667,86,61,841,2153,6842,61349,173,494,2,264,3584,17900,19x9,Lung5,macrophage,myeloid-enriched stroma
19x10,19,10,7966,1.15,494,3601,20099.5555555556,169767.666666667,108,94,2104,6890,50457,65346,326,812,0,0,722,12281,19x10,Lung5,tumor 5,myeloid-enriched stroma
19x11,19,11,3685,1.21,718,3617,20323.5555555556,169783.666666667,76,63,648,2318,29755,65331,161,512,12,596,7554,29940,19x11,Lung5,neutrophil,myeloid-enriched stroma
19x12,19,12,7522,0.77,1036,3588,20641.5555555556,169754.666666667,92,120,860,2803,718,3200,231,689,1,444,2721,20839,19x12,Lung5,macrophage,myeloid-enriched stroma
19x13,19,13,5557,0.93,1239,3597,20844.5555555556,169763.666666667,95,102,1032,4137,10004,55588,264,665,0,35,7009,32312,19x13,Lung5,epithelial,myeloid-enriched stroma
19x15,19,15,4961,0.72,1890,3600,21495.5555555556,169766.666666667,69,96,827,3508,618,1861,269,4487,12,2777,3151,14398,19x15,Lung5,macrophage,myeloid-enriched stroma
19x16,19,16,6307,1.27,1965,3609,21570.5555555556,169775.666666667,99,78,547,2937,591,5487,246,14591,108,897,7876,36503,19x16,Lung5,neutrophil,myeloid-enriched stroma
19x17,19,17,3081,1.46,2272,3623,21877.5555555556,169789.666666667,73,50,615,2819,1057,7645,181,543,145,1241,7221,33688,19x17,Lung5,neutrophil,myeloid-enriched stroma
19x18,19,18,2207,1.04,2656,3623,22261.5555555556,169789.666666667,52,50,551,2413,688,1982,157,800,48,397,1619,13051,19x18,Lung5,neutrophil,myeloid-enriched stroma
19x19,19,19,5458,2.47,3050,3621,22655.5555555556,169787.666666667,136,55,1800,5734,6471,47184,325,2634,0,151,11245,50008,19x19,Lung5,mast,myeloid-enriched stroma
19x20,19,20,5149,1.09,3155,3609,22760.5555555556,169775.666666667,85,78,2669,9688,19272,65264,3181,23637,3,508,6232,30249,19x20,Lung5,endothelial,myeloid-enriched stroma
19x21,19,21,8269,1.13,3320,3598,22925.5555555556,169764.666666667,113,100,926,2945,1103,9220,271,891,26,697,4544,42676,19x21,Lung5,mast,myeloid-enriched stroma
19x22,19,22,6247,1.26,3749,3608,23354.5555555556,169774.666666667,102,81,1508,8903,5830,42136,266,897,2,384,6536,28099,19x22,Lung5,endothelial,myeloid-enriched stroma
19x23,19,23,3660,0.96,4498,3614,24103.5555555556,169780.666666667,65,68,1139,3152,1087,11914,209,610,0,91,0,0,19x23,Lung5,macrophage,myeloid-enriched stroma
19x24,19,24,2190,1.41,5105,3626,24710.5555555556,169792.666666667,62,44,1168,12770,3802,36111,179,462,99,691,4723,18518,19x24,Lung5,neutrophil,myeloid-enriched stroma
19x25,19,25,4430,1.66,5308,3619,24913.5555555556,169785.666666667,96,58,564,2888,1881,11358,155,413,20,640,3143,19424,19x25,Lung5,macrophage,myeloid-enriched stroma
