sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
14x3,14,3,3219,1.58,1453,3623,21058.5555555556,166139.666666667,79,50,425,1605,1572,27566,196,702,323,2114,5492,30568,14x3,Lung5,neutrophil,myeloid-enriched stroma
14x4,14,4,5441,2.39,3287,3623,22892.5555555556,166139.666666667,122,51,653,6524,336,1291,255,1102,344,2012,5654,40877,14x4,Lung5,neutrophil,myeloid-enriched stroma
14x5,14,5,5656,0.85,55,3601,19660.5555555556,166117.666666667,81,95,420,2662,444,18255,224,625,0,64,8814,32573,14x5,Lung5,monocyte,myeloid-enriched stroma
14x6,14,6,4793,1.18,248,3609,19853.5555555556,166125.666666667,92,78,485,1767,400,965,148,462,0,24,3994,21502,14x6,Lung5,endothelial,myeloid-enriched stroma
14x7,14,7,3917,1.33,356,3618,19961.5555555556,166134.666666667,80,60,733,3748,413,1038,210,898,54,543,1766,19578,14x7,Lung5,NK,myeloid-enriched stroma
14x8,14,8,8613,0.58,456,3579,20061.5555555556,166095.666666667,80,139,1540,5120,596,3721,274,888,0,53,4495,30217,14x8,Lung5,macrophage,myeloid-enriched stroma
14x9,14,9,3781,0.66,516,3607,20121.5555555556,166123.666666667,55,83,676,2592,1247,8455,117,523,0,19,3362,15862,14x9,Lung5,endothelial,myeloid-enriched stroma
14x10,14,10,3559,1.62,631,3622,20236.5555555556,166138.666666667,84,52,598,2777,462,2401,229,798,207,1097,7512,26051,14x10,Lung5,neutrophil,myeloid-enriched stroma
14x11,14,11,4637,2.34,1081,3625,20686.5555555556,166141.666666667,110,47,481,2235,334,2127,212,8028,1,184,5681,24595,14x11,Lung5,macrophage,myeloid-enriched stroma
14x12,14,12,3589,1.5,1222,3621,20827.5555555556,166137.666666667,81,54,520,2001,2828,11821,226,757,41,579,10960,37788,14x12,Lung5,neutrophil,myeloid-enriched stroma
14x13,14,13,6006,1.24,1804,3611,21409.5555555556,166127.666666667,92,74,1010,4600,31513,65331,187,546,2,451,575,15838,14x13,Lung5,tumor 5,myeloid-enriched stroma
14x14,14,14,4089,1.88,1933,3622,21538.5555555556,166138.666666667,98,52,561,2816,4944,42517,180,677,0,149,3249,27840,14x14,Lung5,epithelial,myeloid-enriched stroma
14x15,14,15,8593,1.59,2067,3607,21672.5555555556,166123.666666667,130,82,893,3895,683,13532,250,810,9,868,2680,23495,14x15,Lung5,macrophage,myeloid-enriched stroma
14x16,14,16,4561,1.41,2273,3616,21878.5555555556,166132.666666667,90,64,1331,5200,1722,8543,129,731,32,842,1774,18824,14x16,Lung5,neutrophil,myeloid-enriched stroma
14x17,14,17,2263,1.59,2724,3628,22329.5555555556,166144.666666667,65,41,840,2455,709,1796,210,571,0,0,3914,15918,14x17,Lung5,fibroblast,myeloid-enriched stroma
14x18,14,18,4805,1.46,3719,3613,23324.5555555556,166129.666666667,102,70,780,2467,3995,34479,145,473,0,23,971,19498,14x18,Lung5,endothelial,myeloid-enriched stroma
14x19,14,19,3634,1.57,3952,3620,23557.5555555556,166136.666666667,88,56,924,4278,12799,65262,193,556,43,733,4655,34796,14x19,Lung5,epithelial,myeloid-enriched stroma
14x20,14,20,3538,2.9,4163,3628,23768.5555555556,166144.666666667,119,41,1022,3519,591,2874,207,644,3,222,4046,21708,14x20,Lung5,macrophage,myeloid-enriched stroma
14x21,14,21,11219,1.2,4422,3590,24027.5555555556,166106.666666667,139,116,1110,4282,1696,46456,327,1048,10,850,2633,22747,14x21,Lung5,macrophage,myeloid-enriched stroma
14x22,14,22,1710,1.46,4578,3629,24183.5555555556,166145.666666667,57,39,1389,4317,549,1460,215,687,0,19,278,17751,14x22,Lung5,macrophage,myeloid-enriched stroma
14x23,14,23,2502,1.4,4630,3625,24235.5555555556,166141.666666667,66,47,1738,6188,687,1866,337,1248,0,96,15840,44907,14x23,Lung5,endothelial,myeloid-enriched stroma
14x24,14,24,2775,1.25,4687,3620,24292.5555555556,166136.666666667,71,57,1949,6002,702,1747,262,614,0,110,7847,27310,14x24,Lung5,endothelial,lymphoid structure
14x25,14,25,1387,0.96,4742,3625,24347.5555555556,166141.666666667,44,46,1390,2658,634,1189,486,1246,0,30,2934,14142,14x25,Lung5,B-cell,lymphoid structure
14x26,14,26,2399,1.03,5005,3616,24610.5555555556,166132.666666667,66,64,2015,4555,990,2151,296,878,0,119,7008,28831,14x26,Lung5,endothelial,lymphoid structure
14x27,14,27,2050,0.71,5044,3615,24649.5555555556,166131.666666667,47,66,1444,4935,933,2402,271,1263,0,52,10532,27870,14x27,Lung5,T CD4 naive,lymphoid structure
14x28,14,28,2005,0.61,5071,3612,24676.5555555556,166128.666666667,44,72,1228,3180,1463,16664,380,1369,0,47,5354,18801,14x28,Lung5,B-cell,lymphoid structure
14x29,14,29,3629,0.82,5116,3610,24721.5555555556,166126.666666667,62,76,1361,5725,7432,54250,321,1091,0,67,8600,28316,14x29,Lung5,B-cell,lymphoid structure
14x31,14,31,6935,1.01,4241,3602,23846.5555555556,166118.666666667,94,93,745,3825,1734,65306,224,6833,11,460,6294,22056,14x31,Lung5,macrophage,myeloid-enriched stroma
14x32,14,32,8383,0.81,4870,3581,24475.5555555556,166097.666666667,109,134,2861,7443,27771,65311,307,1097,0,155,63,8094,14x32,Lung5,epithelial,lymphoid structure
14x33,14,33,3426,1.2,5404,3618,25009.5555555556,166134.666666667,73,61,1083,3178,3268,42618,356,1126,0,9,10861,27289,14x33,Lung5,B-cell,lymphoid structure
14x34,14,34,1757,0.67,5452,3621,25057.5555555556,166137.666666667,37,55,1390,2671,32022,65343,267,802,13,569,3,1081,14x34,Lung5,epithelial,lymphoid structure
