sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
30x1,30,1,2483,1.48,719,3624,25796.7777777778,177090.666666667,71,48,1802,4704,263,1087,293,798,12,303,767,7551,30x1,Lung5,mDC,stroma
30x2,30,2,1869,1.58,840,3629,25917.7777777778,177095.666666667,60,38,708,1873,127,382,187,579,0,12,3994,21893,30x2,Lung5,plasmablast,stroma
30x3,30,3,3461,0.97,1102,3615,26179.7777777778,177081.666666667,64,66,3659,10216,509,7039,491,2318,0,0,57,6235,30x3,Lung5,macrophage,stroma
30x4,30,4,2868,1.09,1325,3619,26402.7777777778,177085.666666667,63,58,5030,21593,173,544,299,1297,0,37,34,5610,30x4,Lung5,pDC,stroma
30x5,30,5,2297,0.93,1454,3620,26531.7777777778,177086.666666667,52,56,4729,9005,259,901,455,1028,4,468,7,1944,30x5,Lung5,mDC,stroma
30x6,30,6,1859,1.18,1770,3626,26847.7777777778,177092.666666667,52,44,2522,13770,284,1056,260,1029,0,0,13,1294,30x6,Lung5,pDC,stroma
30x7,30,7,2442,0.83,2079,3618,27156.7777777778,177084.666666667,50,60,2934,13135,196,556,580,2831,5,603,4454,33652,30x7,Lung5,fibroblast,lymphoid structure
30x8,30,8,2190,1.17,2410,3625,27487.7777777778,177091.666666667,55,47,3098,11900,152,438,1138,7156,5,229,9101,38597,30x8,Lung5,T CD8 naive,lymphoid structure
30x9,30,9,1657,1.26,2461,3629,27538.7777777778,177095.666666667,48,38,1012,3749,77,247,369,1021,0,10,5668,20778,30x9,Lung5,mDC,lymphoid structure
30x10,30,10,2201,1.34,2514,3626,27591.7777777778,177092.666666667,59,44,2020,9146,124,393,499,2365,0,168,4876,18721,30x10,Lung5,fibroblast,lymphoid structure
30x11,30,11,1613,0.82,2638,3623,27715.7777777778,177089.666666667,41,50,2752,6800,148,397,603,1895,17,691,5136,35519,30x11,Lung5,plasmablast,lymphoid structure
